split,period_id,jurisdiction,txt_crisis,txt_alert,txt_action,txt_len,txt_has_release,txt_risk_class
train,7cCeqHbf,NV,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,NY,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,OH,9,4,3,94,1,CRISIS
train,7cCeqHbf,OK,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,OR,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,PA,2,0,9,67,1,ACTION
train,7cCeqHbf,RI,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,SC,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,SD,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,TN,9,4,3,94,1,CRISIS
train,7cCeqHbf,TX,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,UT,0,0,0,0,0,UNKNOWN
train,7cCeqHbf,VA,4,1,3,79,1,CRISIS
train,7cCeqHbf,VT,4,1,3,79,1,CRISIS
train,7cCeqHbf,WA,4,1,3,80,1,CRISIS
train,7cCeqHbf,WI,4,0,8,102,1,ACTION
train,7cCeqHbf,WV,7,7,5,178,1,CRISIS
train,7cCeqHbf,WY,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,AK,8,0,10,135,1,ACTION
train,tVb8fHGc,AL,5,7,2,95,1,ALERT
train,tVb8fHGc,AR,1,8,0,66,1,ALERT
train,tVb8fHGc,AZ,2,0,10,68,1,ACTION
train,tVb8fHGc,CA,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,CO,7,0,9,147,1,ACTION
train,tVb8fHGc,CT,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,DC,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,DE,13,8,15,260,1,ACTION
train,tVb8fHGc,FL,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,GA,1,8,0,66,1,ALERT
train,tVb8fHGc,HI,5,2,11,134,1,ACTION
train,tVb8fHGc,IA,8,8,8,170,1,CRISIS
train,tVb8fHGc,ID,10,7,21,252,1,ACTION
train,tVb8fHGc,IL,1,8,0,66,1,ALERT
train,tVb8fHGc,IN,6,0,16,144,1,ACTION
train,tVb8fHGc,KS,8,8,6,167,1,CRISIS
train,tVb8fHGc,KY,6,7,3,98,1,ALERT
train,tVb8fHGc,LA,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,MA,1,8,0,67,1,ALERT
train,tVb8fHGc,MD,8,9,4,161,1,ALERT
train,tVb8fHGc,ME,13,9,12,251,1,CRISIS
train,tVb8fHGc,MI,3,0,11,87,1,ACTION
train,tVb8fHGc,MN,3,2,2,67,1,CRISIS
train,tVb8fHGc,MO,3,1,5,73,1,ACTION
train,tVb8fHGc,MS,2,0,9,68,1,ACTION
train,tVb8fHGc,MT,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,NC,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,ND,4,0,4,87,1,CRISIS
train,tVb8fHGc,NE,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,NH,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,NJ,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,NM,9,8,6,168,1,CRISIS
train,tVb8fHGc,NV,5,7,3,97,1,ALERT
train,tVb8fHGc,NY,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,OH,10,8,15,229,1,ACTION
train,tVb8fHGc,OK,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,OR,9,0,7,128,1,CRISIS
train,tVb8fHGc,PA,1,8,0,66,1,ALERT
train,tVb8fHGc,RI,5,7,2,98,1,ALERT
train,tVb8fHGc,SC,2,0,9,70,1,ACTION
train,tVb8fHGc,SD,5,0,15,131,1,ACTION
train,tVb8fHGc,TN,4,1,4,69,1,CRISIS
train,tVb8fHGc,TX,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,UT,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,VA,0,0,0,0,0,UNKNOWN
train,tVb8fHGc,VT,5,7,2,96,1,ALERT
train,tVb8fHGc,WA,3,1,4,70,1,ACTION
train,tVb8fHGc,WI,8,7,10,156,1,ACTION
train,tVb8fHGc,WV,6,0,1,73,1,CRISIS
train,tVb8fHGc,WY,8,7,12,178,1,ACTION
train,NOtvYKB9,AK,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,AL,2,0,9,68,1,ACTION
train,NOtvYKB9,AR,7,3,5,146,1,CRISIS
train,NOtvYKB9,AZ,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,CA,7,15,2,161,1,ALERT
train,NOtvYKB9,CO,3,0,10,87,1,ACTION
train,NOtvYKB9,CT,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,DC,13,9,9,242,1,CRISIS
train,NOtvYKB9,DE,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,FL,5,0,15,127,1,ACTION
train,NOtvYKB9,GA,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,HI,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,IA,4,1,5,72,1,ACTION
train,NOtvYKB9,ID,4,1,4,72,1,CRISIS
train,NOtvYKB9,IL,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,IN,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,KS,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,KY,3,2,3,71,1,CRISIS
train,NOtvYKB9,LA,3,0,6,60,1,ACTION
train,NOtvYKB9,MA,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,MD,5,7,2,95,1,ALERT
train,NOtvYKB9,ME,3,2,3,70,1,CRISIS
train,NOtvYKB9,MI,5,7,3,98,1,ALERT
train,NOtvYKB9,MN,5,7,2,95,1,ALERT
train,NOtvYKB9,MO,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,MS,3,2,2,68,1,CRISIS
train,NOtvYKB9,MT,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,NC,3,1,5,75,1,ACTION
train,NOtvYKB9,ND,1,8,1,70,1,ALERT
train,NOtvYKB9,NE,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,NH,1,8,1,70,1,ALERT
train,NOtvYKB9,NJ,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,NM,3,1,4,70,1,ACTION
train,NOtvYKB9,NV,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,NY,1,8,0,69,1,ALERT
train,NOtvYKB9,OH,12,8,16,249,1,ACTION
train,NOtvYKB9,OK,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,OR,3,8,9,133,1,ACTION
train,NOtvYKB9,PA,14,15,3,229,1,ALERT
train,NOtvYKB9,RI,4,1,4,70,1,CRISIS
train,NOtvYKB9,SC,3,8,9,139,1,ACTION
train,NOtvYKB9,SD,4,1,3,81,1,CRISIS
train,NOtvYKB9,TN,1,8,0,66,1,ALERT
train,NOtvYKB9,TX,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,UT,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,VA,3,0,10,84,1,ACTION
train,NOtvYKB9,VT,0,0,0,0,0,UNKNOWN
train,NOtvYKB9,WA,4,1,3,80,1,CRISIS
train,NOtvYKB9,WI,1,8,1,66,1,ALERT
train,NOtvYKB9,WV,4,0,3,87,1,CRISIS
train,NOtvYKB9,WY,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,AK,10,12,3,160,1,ALERT
train,WB9kCj4E,AL,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,AR,3,8,3,139,1,ALERT
train,WB9kCj4E,AZ,15,7,16,249,1,ACTION
train,WB9kCj4E,CA,5,7,2,95,1,ALERT
train,WB9kCj4E,CO,9,4,3,97,1,CRISIS
train,WB9kCj4E,CT,9,7,8,197,1,CRISIS
train,WB9kCj4E,DC,4,0,6,96,1,ACTION
train,WB9kCj4E,DE,8,7,12,180,1,ACTION
train,WB9kCj4E,FL,20,5,7,241,1,CRISIS
train,WB9kCj4E,GA,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,HI,17,11,11,248,1,CRISIS
train,WB9kCj4E,IA,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,ID,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,IL,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,IN,16,6,11,261,1,CRISIS
train,WB9kCj4E,KS,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,KY,7,11,9,213,1,ALERT
train,WB9kCj4E,LA,8,0,4,142,1,CRISIS
train,WB9kCj4E,MA,5,7,2,95,1,ALERT
train,WB9kCj4E,MD,8,9,6,216,1,ALERT
train,WB9kCj4E,ME,10,8,7,180,1,CRISIS
train,WB9kCj4E,MI,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,MN,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,MO,12,8,11,255,1,CRISIS
train,WB9kCj4E,MS,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,MT,4,0,14,148,1,ACTION
train,WB9kCj4E,NC,13,4,12,207,1,CRISIS
train,WB9kCj4E,ND,2,0,10,72,1,ACTION
train,WB9kCj4E,NE,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,NH,6,7,3,100,1,ALERT
train,WB9kCj4E,NJ,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,NM,2,0,9,69,1,ACTION
train,WB9kCj4E,NV,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,NY,1,8,0,69,1,ALERT
train,WB9kCj4E,OH,3,1,4,67,1,ACTION
train,WB9kCj4E,OK,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,OR,7,1,13,163,1,ACTION
train,WB9kCj4E,PA,17,12,4,228,1,CRISIS
train,WB9kCj4E,RI,3,0,6,62,1,ACTION
train,WB9kCj4E,SC,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,SD,14,12,9,265,1,CRISIS
train,WB9kCj4E,TN,6,1,12,146,1,ACTION
train,WB9kCj4E,TX,3,0,11,86,1,ACTION
train,WB9kCj4E,UT,3,8,11,138,1,ACTION
train,WB9kCj4E,VA,4,0,6,100,1,ACTION
train,WB9kCj4E,VT,12,12,6,232,1,CRISIS
train,WB9kCj4E,WA,1,8,0,66,1,ALERT
train,WB9kCj4E,WI,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,WV,0,0,0,0,0,UNKNOWN
train,WB9kCj4E,WY,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,AK,12,7,3,162,1,CRISIS
train,S1xSdqr5,AL,3,0,6,61,1,ACTION
train,S1xSdqr5,AR,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,AZ,7,1,12,131,1,ACTION
train,S1xSdqr5,CA,5,2,5,143,1,CRISIS
train,S1xSdqr5,CO,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,CT,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,DC,16,4,19,274,1,ACTION
train,S1xSdqr5,DE,4,9,4,138,1,ALERT
train,S1xSdqr5,FL,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,GA,13,12,9,223,1,CRISIS
train,S1xSdqr5,HI,8,0,4,140,1,CRISIS
train,S1xSdqr5,IA,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,ID,6,0,1,70,1,CRISIS
train,S1xSdqr5,IL,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,IN,15,4,12,267,1,CRISIS
train,S1xSdqr5,KS,3,2,2,69,1,CRISIS
train,S1xSdqr5,KY,14,11,7,196,1,CRISIS
train,S1xSdqr5,LA,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,MA,4,1,3,80,1,CRISIS
train,S1xSdqr5,MD,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,ME,3,1,5,71,1,ACTION
train,S1xSdqr5,MI,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,MN,15,4,18,261,1,ACTION
train,S1xSdqr5,MO,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,MS,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,MT,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,NC,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,ND,10,0,6,160,1,CRISIS
train,S1xSdqr5,NE,4,0,8,106,1,ACTION
train,S1xSdqr5,NH,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,NJ,3,1,4,70,1,ACTION
train,S1xSdqr5,NM,3,0,6,62,1,ACTION
train,S1xSdqr5,NV,16,11,11,272,1,CRISIS
train,S1xSdqr5,NY,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,OH,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,OK,12,7,3,164,1,CRISIS
train,S1xSdqr5,OR,5,7,2,94,1,ALERT
train,S1xSdqr5,PA,6,3,2,78,1,CRISIS
train,S1xSdqr5,RI,6,3,2,79,1,CRISIS
train,S1xSdqr5,SC,12,3,3,151,1,CRISIS
train,S1xSdqr5,SD,3,1,4,72,1,ACTION
train,S1xSdqr5,TN,4,0,6,100,1,ACTION
train,S1xSdqr5,TX,0,0,0,0,0,UNKNOWN
train,S1xSdqr5,UT,4,1,4,82,1,CRISIS
train,S1xSdqr5,VA,20,12,8,268,1,CRISIS
train,S1xSdqr5,VT,6,0,1,68,1,CRISIS
train,S1xSdqr5,WA,5,7,2,95,1,ALERT
train,S1xSdqr5,WI,2,0,10,68,1,ACTION
train,S1xSdqr5,WV,7,1,7,163,1,CRISIS
train,S1xSdqr5,WY,9,4,3,94,1,CRISIS
train,KDy1VIvO,AK,4,1,3,79,1,CRISIS
train,KDy1VIvO,AL,15,7,9,225,1,CRISIS
train,KDy1VIvO,AR,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,AZ,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,CA,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,CO,1,8,0,69,1,ALERT
train,KDy1VIvO,CT,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,DC,10,8,5,176,1,CRISIS
train,KDy1VIvO,DE,12,7,3,164,1,CRISIS
train,KDy1VIvO,FL,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,GA,3,0,10,85,1,ACTION
train,KDy1VIvO,HI,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,IA,7,1,11,145,1,ACTION
train,KDy1VIvO,ID,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,IL,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,IN,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,KS,11,8,11,223,1,CRISIS
train,KDy1VIvO,KY,5,7,3,98,1,ALERT
train,KDy1VIvO,LA,6,1,12,146,1,ACTION
train,KDy1VIvO,MA,8,7,8,157,1,CRISIS
train,KDy1VIvO,MD,4,10,2,133,1,ALERT
train,KDy1VIvO,ME,3,2,3,70,1,CRISIS
train,KDy1VIvO,MI,3,0,11,87,1,ACTION
train,KDy1VIvO,MN,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,MO,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,MS,4,0,3,82,1,CRISIS
train,KDy1VIvO,MT,3,2,3,71,1,CRISIS
train,KDy1VIvO,NC,6,7,3,100,1,ALERT
train,KDy1VIvO,ND,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,NE,6,0,2,71,1,CRISIS
train,KDy1VIvO,NH,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,NJ,3,0,10,86,1,ACTION
train,KDy1VIvO,NM,5,9,4,140,1,ALERT
train,KDy1VIvO,NV,1,8,1,68,1,ALERT
train,KDy1VIvO,NY,4,1,3,82,1,CRISIS
train,KDy1VIvO,OH,1,8,0,65,1,ALERT
train,KDy1VIvO,OK,7,1,13,165,1,ACTION
train,KDy1VIvO,OR,6,1,14,154,1,ACTION
train,KDy1VIvO,PA,4,1,3,79,1,CRISIS
train,KDy1VIvO,RI,1,8,0,68,1,ALERT
train,KDy1VIvO,SC,5,7,2,98,1,ALERT
train,KDy1VIvO,SD,3,1,4,73,1,ACTION
train,KDy1VIvO,TN,8,7,8,154,1,CRISIS
train,KDy1VIvO,TX,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,UT,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,VA,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,VT,17,8,6,242,1,CRISIS
train,KDy1VIvO,WA,0,0,0,0,0,UNKNOWN
train,KDy1VIvO,WI,6,0,2,69,1,CRISIS
train,KDy1VIvO,WV,8,7,12,190,1,ACTION
train,KDy1VIvO,WY,6,0,16,144,1,ACTION
train,UJgFAh3i,AK,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,AL,6,0,12,150,1,ACTION
train,UJgFAh3i,AR,10,0,7,168,1,CRISIS
train,UJgFAh3i,AZ,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,CA,12,3,3,148,1,CRISIS
train,UJgFAh3i,CO,10,2,17,240,1,ACTION
train,UJgFAh3i,CT,11,15,8,266,1,ALERT
train,UJgFAh3i,DC,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,DE,4,1,3,80,1,CRISIS
train,UJgFAh3i,FL,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,GA,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,HI,3,0,10,84,1,ACTION
train,UJgFAh3i,IA,4,0,8,106,1,ACTION
train,UJgFAh3i,ID,12,4,13,182,1,ACTION
train,UJgFAh3i,IL,11,4,12,163,1,ACTION
train,UJgFAh3i,IN,3,0,10,84,1,ACTION
train,UJgFAh3i,KS,9,4,3,96,1,CRISIS
train,UJgFAh3i,KY,5,7,3,99,1,ALERT
train,UJgFAh3i,LA,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,MA,4,0,3,82,1,CRISIS
train,UJgFAh3i,MD,4,0,6,100,1,ACTION
train,UJgFAh3i,ME,10,7,11,203,1,ACTION
train,UJgFAh3i,MI,3,0,11,87,1,ACTION
train,UJgFAh3i,MN,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,MO,9,9,6,167,1,CRISIS
train,UJgFAh3i,MS,5,7,2,95,1,ALERT
train,UJgFAh3i,MT,4,1,4,83,1,CRISIS
train,UJgFAh3i,NC,3,1,5,73,1,ACTION
train,UJgFAh3i,ND,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,NE,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,NH,2,0,4,77,1,ACTION
train,UJgFAh3i,NJ,4,0,6,102,1,ACTION
train,UJgFAh3i,NM,7,2,7,152,1,CRISIS
train,UJgFAh3i,NV,10,7,18,261,1,ACTION
train,UJgFAh3i,NY,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,OH,10,4,5,157,1,CRISIS
train,UJgFAh3i,OK,11,4,6,169,1,CRISIS
train,UJgFAh3i,OR,4,9,4,136,1,ALERT
train,UJgFAh3i,PA,7,1,10,171,1,ACTION
train,UJgFAh3i,RI,3,0,10,86,1,ACTION
train,UJgFAh3i,SC,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,SD,0,0,0,0,0,UNKNOWN
train,UJgFAh3i,TN,4,0,3,81,1,CRISIS
train,UJgFAh3i,TX,3,0,11,86,1,ACTION
train,UJgFAh3i,UT,4,0,8,106,1,ACTION
train,UJgFAh3i,VA,4,0,6,100,1,ACTION
train,UJgFAh3i,VT,3,0,6,60,1,ACTION
train,UJgFAh3i,WA,9,4,3,95,1,CRISIS
train,UJgFAh3i,WI,16,4,19,262,1,ACTION
train,UJgFAh3i,WV,4,1,4,74,1,CRISIS
train,UJgFAh3i,WY,9,0,7,128,1,CRISIS
train,4VCAqmuO,AK,4,9,4,132,1,ALERT
